;;;#of times;de;;;
;2401;1;4;601;0.98;;0.00098
;2405;2.14;4;602;0.98;;0.00098
;2409;11.8;4;603;0.98;;0.00098
;2413;5;4;604;0.98;;0.00098
;2417;9.7;4;605;1.55;;0.00155
;2421;7;4;606;1.55;;0.00155
;2425;0.85;4;607;1.55;;0.00155
;2429;2;4;608;1.55;;0.00155
;2433;10;4;609;7;;0.007
;2437;4.7;4;610;7;;0.007
;2441;9;4;611;7;;0.007
;2445;6.1;4;612;7;;0.007
;2449;0.8;4;613;3.31;;0.00331
;2453;2;4;614;3.31;;0.00331
;2457;10;4;615;3.31;;0.00331
;2461;4.2;4;616;3.31;;0.00331
;2465;8;4;617;6.1;;0.0061
;2469;5.5;4;618;6.1;;0.0061
;2473;0.62;4;619;6.1;;0.0061
;2477;1;4;620;6.1;;0.0061
;2481;1.5;4;621;2.2;;0.0022
;2485;1.3;4;622;2.2;;0.0022
;2489;1;4;623;2.2;;0.0022
;2493;1;4;624;2.2;;0.0022
;2497;0.45;4;625;1;;0.001
;2501;0.9;4;626;1;;0.001
;2505;0.9;4;627;1;;0.001
;2509;0.98;4;628;1;;0.001
;2513;1;4;629;1.4;;0.0014
;2517;0.9;4;630;1.4;;0.0014
;2521;1.3;4;631;1.4;;0.0014
;2525;2.9;4;632;1.4;;0.0014
;2529;9.8;4;633;1.5;;0.0015
;2533;4.4;4;634;1.5;;0.0015
;2537;8.5;4;635;1.5;;0.0015
;2541;4.81;4;636;1.5;;0.0015
;2545;1.1;4;637;1.03;;0.00103
;2549;2.1;4;638;1.03;;0.00103
;2553;8.6;4;639;1.03;;0.00103
;2557;3.96;4;640;1.03;;0.00103
;2561;7.7;4;641;2;;0.002
;2565;4.9;4;642;2;;0.002
;2569;0.9;4;643;2;;0.002
;2573;1.9;4;644;2;;0.002
;2577;10;4;645;1.4;;0.0014
;2581;3.5;4;646;1.4;;0.0014
;2585;7;4;647;1.4;;0.0014
;2589;3.6;4;648;1.4;;0.0014
;2593;0.65;4;649;1;;0.001
;2597;1.2;4;650;1;;0.001
;2601;7.5;4;651;1;;0.001
;2605;2.85;4;652;1;;0.001
;2609;6.8;4;653;1.4;;0.0014
;2613;3;4;654;1.4;;0.0014
;2617;0.56;4;655;1.4;;0.0014
;2621;0.9;4;656;1.4;;0.0014
;2625;6;4;657;1.3;;0.0013
;2629;2.1;4;658;1.3;;0.0013
;2633;5;4;659;1.3;;0.0013
;2637;2.3;4;660;1.3;;0.0013
;2641;0.52;4;661;1;;0.001
;2645;0.84;4;662;1;;0.001
;2649;1.53;4;663;1;;0.001
;2653;1.5;4;664;1;;0.001
;2657;1;4;665;1.3;;0.0013
;2661;0.9;4;666;1.3;;0.0013
;2665;0.4;4;667;1.3;;0.0013
;2669;0.78;4;668;1.3;;0.0013
;2673;1;4;669;1.1;;0.0011
;2677;1.3;4;670;1.1;;0.0011
;2681;0.8;4;671;1.1;;0.0011
;2685;0.7;4;672;1.1;;0.0011
;2689;1;4;673;1.2;;0.0012
;2693;2.89;4;674;1.2;;0.0012
;2697;12;4;675;1.2;;0.0012
;2701;5.3;4;676;1.2;;0.0012
;2705;9.5;4;677;3.3;;0.0033
;2709;6;4;678;3.3;;0.0033
;2713;0.9;4;679;3.3;;0.0033
;2717;3.5;4;680;3.3;;0.0033
;2721;20;4;681;10.2;;0.0102
;2725;8;4;682;10.2;;0.0102
;2729;9;4;683;10.2;;0.0102
;2733;4.5;4;684;10.2;;0.0102
;2737;1;4;685;3;;0.003
;2741;2.8;4;686;3;;0.003
;2745;26.33;4;687;3;;0.003
;2749;6.2;4;688;3;;0.003
;2753;9;4;689;18;;0.018
;2757;12;4;690;18;;0.018
;2761;1;4;691;18;;0.018
;2765;2.12;4;692;18;;0.018
;2769;26.73;4;693;3.26;;0.00326
;2773;6;4;694;3.26;;0.00326
;2777;8.8;4;695;3.26;;0.00326
;2781;6.5;4;696;3.26;;0.00326
;2785;0.73;4;697;0.9;;0.0009
;2789;1.65;4;698;0.9;;0.0009
;2793;15;4;699;0.9;;0.0009
;2797;4.5;4;700;0.9;;0.0009
;2801;6.3;4;701;1.8;;0.0018
;2805;4.4;4;702;1.8;;0.0018
;2809;0.92;4;703;1.8;;0.0018
